,Car Name,Car url,Car Brand,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
0,City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B12AEE768130A105E188F45083FA4B5D.htm,Honda,5,6.0,14.545000000000002,30000,Petrol,Dealer,117.3,Manual,First Owner,17.8,1497,FWD,5,5
1,Thar CRDe,/used-car-details/used-Mahindra-Thar-2015-2019-CRDe-cars-Kolkata_3838D3FB0BC92634614F1AC0BC73FBEA.htm,Mahindra,2,7.25,16.24,32000,Diesel,Dealer,105.0,Manual,First Owner,16.55,2498,4WD,6,5
2,City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_430E2EBE7D71D024067BAB194CA18722.htm,Honda,10,3.55,14.545000000000002,48000,Petrol,Dealer,116.3,Automatic,First Owner,15.6,1497,FWD,5,5
3,Verna VTVT 1.4 E,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-E-cars-Kolkata_A70E13A2BEDFD1BC597CEED1EB4EBE00.htm,Hyundai,3,7.55,13.005,19225,Petrol,Dealer,98.6,Manual,First Owner,19.1,1368,FWD,5,6
4,Verna 1.4 VTVT,/used-car-details/used-Hyundai-Verna-2015-2016-1.4-VTVT-cars-Kolkata_491FD87853D824F36D899C4A25288459.htm,Hyundai,4,5.9,13.005,23228,Petrol,Dealer,105.5,Manual,First Owner,17.43,1396,FWD,5,5
5,Polo 1.5 TDI Highline Plus,/used-car-details/used-Volkswagen-Polo-2015-2019-1.5-TDI-Highline-Plus-cars-Kolkata_632FF95C6EABF4C92A115083D1329CAB.htm,Volkswagen,6,3.6,9.7158,55200,Diesel,Dealer,88.0,Manual,First Owner,20.14,1498,FWD,5,5
6,Jazz 1.2 V i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-i-VTEC-cars-Kolkata_7B0C8C6753B977DDCC08637C1B537039.htm,Honda,4,4.49,9.825,45000,Petrol,Dealer,88.7,Manual,First Owner,18.7,1199,FWD,5,5
7,Tiguan 2.0 TDI Highline,/used-car-details/used-Volkswagen-Tiguan-2.0-TDI-Highline-cars-Kolkata_9D6D87DD22729D13F6AB4D7B3E812881.htm,Volkswagen,3,23.9,64.5022,20000,Diesel,Dealer,141.0,Automatic,First Owner,16.65,1968,AWD,5,7
8,EON Magna Optional,/used-car-details/used-Hyundai-EON-Magna-Optional-cars-Kolkata_1F5718843BB314DD92E0179D82B283B4.htm,Hyundai,3,2.65,7.1519,32000,Petrol,Dealer,55.2,Manual,First Owner,21.1,814,FWD,5,5
9,Innova Crysta 2.8 ZX AT BSIV,/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.8-ZX-AT-BSIV-cars-Kolkata_FE07CB3990ACFE4815F7A870318C1B7C.htm,Toyota,3,17.25,23.87,28000,Diesel,Dealer,171.5,Automatic,First Owner,11.36,2755,RWD,7,6
