,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
0,Honda City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B12AEE768130A105E188F45083FA4B5D.htm,2016,6 Lakh*,Rs.  12.47-16.62 Lakh*,"30,000 kms",Petrol,Dealer,117.3bhp@6600rpm,Manual,First Owner,17.8 kmpl,1497 CC,FWD,5,5 Speed
1,Mahindra Thar CRDe,/used-car-details/used-Mahindra-Thar-2015-2019-CRDe-cars-Kolkata_3838D3FB0BC92634614F1AC0BC73FBEA.htm,2019,7.25 Lakh*,Rs.  15.10-17.38 Lakh*,"32,000 kms",Diesel,Dealer,105bhp@3800rpm,Manual,First Owner,16.55 kmpl,2498 CC,4WD,6,5 Speed
2,Honda City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_430E2EBE7D71D024067BAB194CA18722.htm,2011,3.55 Lakh*,Rs.  12.47-16.62 Lakh*,"48,000 kms",Petrol,Dealer,116.3bhp@6600rpm,Automatic,First Owner,15.6 kmpl,1497 CC,FWD,5,5 Speed AT+ Paddle Shifters
3,Hyundai Verna VTVT 1.4 E,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-E-cars-Kolkata_A70E13A2BEDFD1BC597CEED1EB4EBE00.htm,2018,7.55 Lakh*,Rs. 10.30-15.71 Lakh* ,"19,225 kms",Petrol,Dealer,98.6bhp@6000rpm,Manual,First Owner,19.1 kmpl,1368 CC,FWD,5,6 Speed
4,Hyundai Verna 1.4 VTVT,/used-car-details/used-Hyundai-Verna-2015-2016-1.4-VTVT-cars-Kolkata_491FD87853D824F36D899C4A25288459.htm,2017,5.9 Lakh*,Rs.  10.30-15.71 Lakh*,"23,228 kms",Petrol,Dealer,105.5bhp@6300rpm,Manual,First Owner,17.43 kmpl,1396 CC,FWD,5,5 Speed
5,Volkswagen Polo 1.5 TDI Highline Plus,/used-car-details/used-Volkswagen-Polo-2015-2019-1.5-TDI-Highline-Plus-cars-Kolkata_632FF95C6EABF4C92A115083D1329CAB.htm,2015,3.6 Lakh*,,"55,200 kms",Diesel,Dealer,88bhp@4200rpm,Manual,First Owner,20.14 kmpl,1498 CC,FWD,5,5 Speed
6,Honda Jazz 1.2 V i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-i-VTEC-cars-Kolkata_7B0C8C6753B977DDCC08637C1B537039.htm,2017,4.49 Lakh*,Rs.  8.60-11.05 Lakh*,"45,000 kms",Petrol,Dealer,88.7bhp@6000rpm,Manual,First Owner,18.7 kmpl,1199 CC,FWD,5,5 Speed
7,Volkswagen Tiguan 2.0 TDI Highline,/used-car-details/used-Volkswagen-Tiguan-2.0-TDI-Highline-cars-Kolkata_9D6D87DD22729D13F6AB4D7B3E812881.htm,2018,23.9 Lakh*,,"20,000 kms",Diesel,Dealer,141bhp@4000rpm,Automatic,First Owner,16.65 kmpl,1968 CC,AWD,5,7 Speed
8,Hyundai EON Magna Optional,/used-car-details/used-Hyundai-EON-Magna-Optional-cars-Kolkata_1F5718843BB314DD92E0179D82B283B4.htm,2018,2.65 Lakh*,,"32,000 kms",Petrol,Dealer,55.2bhp@5500rpm,Manual,First Owner,21.1 kmpl,814 CC,FWD,5,5 Speed
9,Toyota Innova Crysta 2.8 ZX AT BSIV,/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.8-ZX-AT-BSIV-cars-Kolkata_FE07CB3990ACFE4815F7A870318C1B7C.htm,2018,17.25 Lakh*,Rs.  19.76-27.98 Lakh*,"28,000 kms",Diesel,Dealer,171.5bhp@3400rpm,Automatic,First Owner,11.36 kmpl,2755 CC,RWD,7,6 Speed
